"Cargo","Regiao"
"1","Analista de Suporte","Nordeste"
"2","Consultor PNUD/GP","Centro-oeste"
"3","Governança de TI","Nordeste"
"4","Desenvolvimento Java","Centro-oeste"
"5","Analista de Negócios","Sudeste"
"6","Arquiteto de sistemas, Java/Oracle/J2EE/Web","Sudeste"
"7","COBOL","Centro-oeste"
"8","Analista de Sistemas / Lider de equipe","Sudeste"
"9","Gerente de Projetos","Sudeste"
"10","Analista programador JAVA/J2EE","Sudeste"
"11","Arquiteto de sistemas","Sudeste"
"12","Arquiteto de sistemas","Sudeste"
"13","Consultor PNUD/Java","Centro-oeste"
"14","SAP","Sudeste"
"15","","Sudeste"
"16","Analista Desenvolvedor Java Senior","Sudeste"
"17","Analise de Sistemas","Sudeste"
"18","Analista de Qualidade de Software/ CMMI, MPS.BR, EPF Composer, APF, Qualidade, Testes","Centro-oeste"
"19","Projetista de Software","Centro-oeste"
"20","Consultor, Analista, Programador etc","Nordeste"
"21","Lider de Projeto / Flex/Java","Sudeste"
"22","Administrador de Dados","Sudeste"
"23","Analista de Sistemas","Sudeste"
"24","Gerente de projetos","Sudeste"
"25","Programador J2EE","Sudeste"
"26","Desenvolvedor Java","Sudeste"
"27","Analista de sistemas - J2EE, Oracle, Forms, Reports","Sudeste"
"28","Gestor de TI","Nordeste"
"29","Desenvolvedor","Nordeste"
"30","Analista de Sistemas / Java","Sudeste"
"31","Analise de Sistemas","Sudeste"
"32","Analista de Sistemas / Java / Flex","Sudeste"
"33","Analista de sistemas - Projeto e avaliação de interfaces","Sudeste"
"34","Consultor Arquitetura de Infraestrutura","Sudeste"
"35","Analista de Negócio","Centro-oeste"
"36","analista de sistemas / oracle forms reports e java","Sudeste"
"37","Lider Técnico","Sudeste"
"38","Programador de Sistemas","Sul"
"39","Desenvolvimento Java","Sudeste"
"40","Analista de Sistemas/Desenvolvedor","Nordeste"
"41","","Sudeste"
"42","Analista Pleno ","Sudeste"
"43","Analista/ Gerente de Projetos ","Centro-oeste"
"44","Redes, segurança, Java","Sudeste"
"45","Documentação / Pesquisa ","Sudeste"
"46","Analista de Geoprocessamento / JEE / Oracle","Sudeste"
"47","Gerente de Projetos e Gestor de servicos de ti","Centro-oeste"
"48","Programador (java / dot.net / ASP / Plone)","Centro-oeste"
"49","Engenheiro de Software","Sudeste"
"50","Gestor de Negócio e Gerente de Projetos","Nordeste"
"51","Analista Desenvolvedor/Java/J2EE/SmallTalk/Oracle","Sudeste"
"52","Analista de Processos / Gerente de Projetos","Sudeste"
"53","Java","Nordeste"
"54","Análise de Requisitos (EA); Programação (Ruby + Flex)","Centro-oeste"
"55","Analista de Sistemas / Desenvolvimento JEE","Sudeste"
"56","Sistemas Distribuídos J2EE/ Eng. Software/ Arq. Software","Sudeste"
"57","Desenvolvedor","Nordeste"
"58","Analista de Sistemas","Nordeste"
"59","Analista de Sistemas - Linux, Homologação de Hardware","Sul"
"60","Analista de Sistemas - JAVA","Sul"
"61","Analista de TI / Desenvolvedor JAVA Web","Sul"
"62","Desenvolvedor Java / Adm. de sistemas e rede",NA
"63","Analista de Desenvolvimento Pleno para Softwares Embarcados","Sudeste"
"64","Desenvolvedor Java","Sudeste"
"65","Análista de Sistemas/VB 5, C#, Oracle","Sul"
"66","Lider de Equipe / Analista Desenvolvedor .NET Sr","Sudeste"
"67","Desenvolvedor Web","Sudeste"
"68","Gerência em TI","Centro-oeste"
"69","Programador Analista .NET Pleno","Sudeste"
"70","Analista de TI e Redes","Norte"
"71","Analista SI e TI","Centro-oeste"
"72","Analista de Sistemas - Desenvolvimento","Centro-oeste"
"73","Banco de dados","Nordeste"
"74","Analista de TI/Redes","Centro-oeste"
"75","Analista de Sistemas","Sudeste"
"76","Analista de Sistemas / Projetos .NET/C#","Sudeste"
"77","Consultor BPM","Sudeste"
"78","Analista de TI","Nordeste"
"79","Analista de TI","Sul"
"80","Analista de Redes / Desenvolvedor","Sudeste"
"81","Anal. Sist. / Prog / Adm BD / Anal. Suporte","Sudeste"
"82","Administrador de Redes","Centro-oeste"
"83","Engenheiro de Semicondutores","Sudeste"
"84","Análise de Sistemas, Java","Sul"
"85","Coordenador de TI/Analista de TI","Nordeste"
"86","Analista de Suporte","Nordeste"
"87","Analista de Sistemas Sênior","Nordeste"
"88","Analista de Sistemas","Sudeste"
"89","Analista Desenvolvedor Java","Sul"
"90","Analista de TI - Desenvolvedor","Sudeste"
"91","analista de sistemas","Nordeste"
"92","Analista SIG (Sistemas de Informações Geográficas)","Sul"
"93","Analista de Sistema Pleno","Sudeste"
"94","Analista de Testes","Sul"
"95","Telecomunicações","Sudeste"
"96","Design de interface","Sudeste"
"97","Desenvolvedor Web (PHP, PostgreSQL) e Professor","Sul"
"98","Analista de Redes Senior","Nordeste"
"99","Analista de sistemas/desenvolvedor","Sudeste"
"100","Analista de Sistema- test analyst","Sudeste"
"101","Analista PL","Sudeste"
"102","Analista de negocios/Analista de Suporte/Analista de sistemas","Centro-oeste"
"103","Analista Programador","Sudeste"
"104","Analista de Sistemas/Desenvolvedor","Nordeste"
"105","Analista de Sistemas","Sudeste"
"106","Analista Delphi/C#","Sudeste"
"107","Programador J2EE PL","Sudeste"
"108","Gerente de Projetos / Analista de Negócio","Sudeste"
"109","Analista de Sistemas/Desenvolvedor","Sudeste"
"110","Desenvolvedor Java Junior","Sudeste"
"111","Desenvolvedor Java","Sudeste"
"112","Desenvolvedor Java","Sudeste"
"113","Programador J2EE","Sudeste"
"114","Desenvolvimento Java","Sudeste"
"115","Engenheiro de software","Sudeste"
"116","Desenvolvedor","Nordeste"
"117","Desenvolverdoer Delphi","Nordeste"
"118","Java e UNIX","Sul"
"119","Analista de Suporte Pleno","Nordeste"
"120","Analista BI","Sudeste"
"121","Desenvolvimento Java","Sudeste"
"122","Desenvolviment de Softwares - JR","Sudeste"
"123","Operador de Redes","Nordeste"
"124","Desenvolvimento Java","Sudeste"
"125","Analista Programador","Sudeste"
"126","Java, PHP, MySQL, VB","Sudeste"
"127","Analista de Sistemas / Programador Delphi",NA
"128","ORACLE","Sudeste"
"129","Arquiteto Java ","Sudeste"
"130","Desenvolvimento Java","Sudeste"
"131","analista de rede","Sudeste"
"132","Desenvolvimento Java","Sudeste"
"133","Desenvolvedor Java - Junior","Sudeste"
"134","Analista de sistemas/Desenvolvedor (JAVA WEB)","Nordeste"
"135","Analista de TI (PostgreSQL + Aplicativos internos)","Nordeste"
"136","Analista de Negócios","Sudeste"
"137","Desenvolvedor Java","Nordeste"
"138","Analista SI e TI.","Centro-oeste"
"139","Desenvolvedor Java","Nordeste"
"140","Desenvolvimento PHP","Sudeste"
"141","Desenvolvedor Web J2EE Junior","Sudeste"
"142","Administrador de Banco de Dados","Nordeste"
"143","Redes e Servidores","Sul"
"144","Analista de TI e Redes","Nordeste"
"145","","Nordeste"
"146","Analista de Sistemas","Nordeste"
"147","Trainee Desenvolvedor Web - Java","Sudeste"
"148","Programador PHP","Sudeste"
"149","Analista de sistemas/Desenvolvedor Web","Sudeste"
"150","Desenvolvedor Web","Sudeste"
"151","Analista de suporte","Sudeste"
"152","Programador PHP / Delphi","Sudeste"
"153","Outsourcing para empresa da área de Telecom. Java / Oracle","Sudeste"
"154","Java","Centro-oeste"
"155","Gerenciamento de Projetos","Nordeste"
"156","Técnico de Suporte (Redes e Servidores)","Nordeste"
"157","Sistemas P2P","Sudeste"
"158","PHP, PostgreSQL","Nordeste"
"159","Técnico de Suporte (Redes e Servidores)","Norte"
"160","Trainee Desenvolvedor Web - Java","Sudeste"
"161","Estagiário Desenvolvedor Web - Java","Nordeste"
"162","Estagiário Desenvolvedor Web - Java","Sudeste"
